2018-04-27 01:24:20	cb7ed9cb91c81bda7f914077de86b0d2:Pnvx9Xf64Pou0oE4EDqU9lkOB61pMThj	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	39.8.40.226
2018-04-27 02:20:03	2afe4aa444bc8135258442ca21da3604:Tdj9iQ64jWyk26BCGwa66HmrToJEMSi7	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	101.15.70.19
2018-04-27 06:02:08	281d68c0d72589123fe73d15a9197690:LtelM5vOmongHlJWrluvencM3WGdeLzF	Q1:信義後花園-松隆映像	,公園內建廁所	,閃亮永春-商圈重生	,;	180.217.90.5
2018-04-27 07:03:30	639b0bd0a647d5c0e11f80f3ebb6a678:xj4o3DpJ6FXrXTfRfKhx7fWszowzU706	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	223.140.100.223
2018-04-27 07:16:36	7e6034214dc33f8594c1864a707d1e7e:9FxHc7TMk3sEOiRmMpR58LSYCUoBtOwN	Q1:公園內建廁所	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	172.30.131.3
2018-04-27 07:40:59	51bb67c7622f55f66373d30615e2e8de:ev0Ma2Yt4CusinBwsErIwWFIButxdMuV	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.15.242.220
2018-04-27 07:43:44	1a3b5dafb07a35b713a71a48c35fe10b:yGT0wpoxDZQMTtmyDkonLJfFFVY2IPC9	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	117.19.193.156
2018-04-27 07:44:04	c904278a51204e6000e12c03b8fd246f:KBjP5GjgKY40YVBJQ7SaNu1CFbCsv4ae	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,;	180.204.152.240
2018-04-27 07:44:14	e3bc5075f0f331b644f03f8909cd3cd4:didmVlGe1pnZV8Zz0z5mSS9GuXLb3Acb	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	1.200.203.160
2018-04-27 07:44:33	bb9e881dbe23b6a7e78b9e8b0c6977dc:3ZdH3ZCbdyAwQGP5OaEnc05cVQoAD0J0	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.15.242.220
2018-04-27 07:44:46	2807b6bdf543912900986b0481dd57a2:SrpyPVhFKwR2pU4k6cVwdEvlealhDb07	Q1:信義後花園-松隆映像	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	101.138.99.5
2018-04-27 07:44:49	759783647f7d8ae65e614c29c47d68a5:Md9p3C1Eq6OSAgp8Rb1uHWJn2u9K7WPG	Q1:信義之星-中興里區民活動中心	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	101.15.242.220
2018-04-27 07:44:50	5675a0ffa223e156a5890ce29726850c:izDmhnFpwHjkPNbkS5zlwXPrWSC4fAFz	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	27.52.233.176
2018-04-27 07:45:06	94ca95ea97e89fe407d1b403eab2aa1b:46W6WPqNphRwHKg0m9x8uPOiWjcoWHcl	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,台北市新亮點最長巷之前世今生	,;	27.246.235.118
2018-04-27 07:45:11	019450af5e1db2fd2d10f40919544491:zNNUuLt6PDLG7hS5OGbum84YGmSIrgYW	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	111.71.20.38
2018-04-27 07:45:20	66cb975c802eaec9d85f874de6559026:fBnya2GgIqCLUojgrJ96HsZjVGBYjWWh	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	49.214.240.148
2018-04-27 07:45:45	73e96c406a57ebafabd4b8978cf42670:xe7WeThaBxInNIGlTt9ADIEfxXshowbS	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	180.217.174.118
2018-04-27 07:46:13	9eb10ff432e2c0a37fed7e9f1196d0c2:GbPHsL4RR4hVanWWvo5dHlssNJkmPKf4	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	39.9.42.99
2018-04-27 08:28:16	3489c5f8061bdd4eb4a8d017306e8807:f4Bi5ENoa69ZxfoW8ae0NzPVEcv05MVa	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:28:38	bed89257288a35f99f0d49860b958982:euypnK5SrPy08yq63Qy2d1g1FnHC0geI	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:29:23	e71798390b7d8b585a69f6bd79a53066:gE271ixN3xVPdcypOcJvHvFJiinJSbtK	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	203.69.23.230
2018-04-27 08:30:00	fb416400a7d095b8aae0cf2e8fe6393f:7zCPNA0aQU8V6oBwersmZOPp5rX8J3G3	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:12	afe0415b77e6c43b56acc427b2fd4b1d:MZMlGFaQutL6nsGWt98XIOwQzs0U2yz1	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:29	f6c1b0e9c3e9dc015914ce46f2e9956b:XSV0DfMBpaE2e4RJUVrlyQCKTtvdqX5T	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:37	a41d0e527542fea9d9eda710c30dc49b:gkJUtPuABSfg24oq4fPhjl9vUH59TWgf	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	115.82.185.85
2018-04-27 08:30:40	6f76d97649e2a36d17f6436508e1493c:AfhCjo4lKEwKqwZt8GYiNjPxm7P6OE2F	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:42	04f0ef26cdbd29f6524b01e74df6486c:ZC048OcjUqCEre8XEpzjIyV2DNLInDgl	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:44	1c2531e571e0658309bb4219da719a76:v9HhRum5w1upfW1ejdmm9aIQlqVXVYFN	Q1:公園內建廁所	,樂活後山埤一號計畫	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:45	96de91df3485783b44374888bee84ec3:KMITgp2ere5Pcl90ZBfDw45A6RdZo3lO	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	60.250.34.235
2018-04-27 08:30:47	0105bcfc6abcb86df45a02bfca5a0008:O5KUETaEdE3DipSeioRAQi95fzZXF0Dz	Q1:公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	60.250.34.235
2018-04-27 08:31:01	2985c3ccb0cbb1dc332411472ae8013a:4ETV4kQkbchmFBpALgDVZRelMXUSZ5w9	Q1:信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	60.250.34.235
2018-04-27 08:31:01	5abbfb8a300253215b913b4c0c064e31:wzorU5UVxupyHX9htWgfnI6Y1g7dEG9e	Q1:信義之星-中興里區民活動中心	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,;	60.250.34.235
2018-04-27 08:31:11	de5d5c7173c69907548d2c8bc04ca7d9:P0DpFsWYZriX3yUGnEYaDtrXPZuU5a6k	Q1:信義之星-中興里區民活動中心	,信義後花園-松隆映像	,公園內建廁所	,樂活後山埤一號計畫	,閃亮永春-商圈重生	,台北市新亮點最長巷之前世今生	,;	39.10.98.187
