2018-04-20 00:11:17	c896aef80f10734941048c07eedf0529:VdtEoEyJxZWncbcLAkCE3hjhf6PUV7xH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	123.194.180.9
2018-04-20 00:32:09	7e71eb06af9e3dec9ece3d5630a4a50d:YdPXuSe7inV40jF06VceU1neMVvxMDtY	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	27.247.62.44
2018-04-20 00:48:20	bb795dfc88025b87050a81ed8b07ac55:9mbuE2hRJ1YlsPZMhiMo21UL17kgCpYm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.176.127.68
2018-04-20 06:20:48	5afc1957ea3276d689bcf4f72d3e23f5:HlALKRtSVQr8nUEdmmKrcZXKDVduBHLL	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	36.227.9.205
2018-04-20 06:45:37	6b16def45223931094c29fe755dcd397:FUdkdDiIgnmrRyT6X1ZH25UpEW3IYnWC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.246.168.51
2018-04-20 06:50:30	7f2b46f2499b3f11ffbe1a0ae5587d06:a3XRS3HMcBCUI8iUSyz1Y4buUTYuGpmQ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.36.10.218
2018-04-20 06:55:02	d568966bcef2bae8b7f3bff4f6535121:79pptsa6cjBIlTwsdNp35x2F6Z4bsdTn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.36.10.218
2018-04-20 07:12:02	8422bba8eb71973b4a78e932db594628:4H44e5oaA4GQTeV5q5NnWA0OVjNczSJJ	Q1:提案名稱二：閒置空間_空宅空間改造,;	220.136.40.37
2018-04-20 07:19:47	a65fb995cebd04cd173f2df281411b3e:p28EHCJz7Tw41WPw62vr9mIfpI5h2gvz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.38.120
2018-04-20 07:23:18	3c09eab03c04582c6f41167eb69c58fd:3jgP3XdFXoYwJsciY8AoYfaqZUutyFEZ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.38.120
2018-04-20 08:06:36	805f5c298dc770eaac035c1e71924363:aqlDJTlhfsEhwepnawMUc8mS6hawVDrP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.12.149.173
2018-04-20 08:16:42	2611bb35d7c740ad11535d02da06218c:Z35RNBG5Xs40cK4GeLD0uAuT962XVlsW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.12.149.173
2018-04-20 08:21:30	522958dfb11497def198c606d41d03dc:ZtJXilfei7H77tMXr1aqXlfk4RUn42jU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.12.149.173
2018-04-20 08:23:06	6cd0a627e33a8940c722b6b886cc5aed:nduzuLJa6uW5VpLmdzpGRyKcV8jaKlYb	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.64
2018-04-20 08:23:11	81097d4502af7f0b0ffd123703a780f3:Qu4CqfwlMumqjLqJ0abJNVCvC0prPdi8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.40.235.57
2018-04-20 08:25:57	959b2c2416d27fc4270f9a7272d6a7cc:QwLBgLmcLulLoGP9vINxrmkmijhxjmsH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.40.235.57
