2018-04-29 00:00:05	4372b0982ce358605180dd795783b15d:k22SDMdh40kJ2Brk4iaZ8sk5Ux3qyb25	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:02:20	659f78a7c014e3c1a2b8e1bea9c19d45:7WjdauQi0f3u2MQFUIJTgVj0Xi6i65XA	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:03:56	0011331f7265646a6c73d72e94f84973:j18f7YrX4WiNSzshH8C8EVZWpgqzWd9b	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:04:54	721bff04e700e15341d702426bfe9398:sKQiJ3KDiNm2JNHtCYgXVu2FTkcqjWpU	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:05:54	3c2aaf631303d66d1fc49e4b1a0b1244:kvh0cPSinJcb8m2fWqdqWJWPIBw6ern7	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:08:22	37a16920c2af1d951e10e67be53c6a8e:gVnuLr0M38zQOFII6VfCJbN2RTh4qdlA	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:08:34	0af71162465303474ec7e6d2179825ba:QRZ9Ja2m5A7kfgstCF4tMBIVAm3V2yb9	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:09:32	e9ef3b0af3b5b8c0b50b09049edc907d:GP1EBvkAPbUftZQrNXrIAtIT9HtvtsZt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:10:40	26073e0702ef82faa82e4512c72b30b2:sr7UoKKQqSPqljcpXwar0YVw6e34kosH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-29 00:10:51	1629a7d00b4898b17b066655d71724e1:orW6wSyNLglmEzIq3fEOjzyErQUp6Jln	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-29 00:11:56	c63d7ca1c3efa0b55847abf2f5f9e4e7:Oxx8MjuJK9u0mKfPTyvVCXO15ef2veIZ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
