2018-04-28 07:06:27	0b36a839a6779b36631a051ccc5e94e1:7fNNxEYDBqyyKLHe4Ths1QVcg1z37Bux	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	42.77.133.90
2018-04-28 07:58:16	e4d9bf8f6638bd76987b4b03e857cb66:fedgRZgfqcvze6HVioiEgF0tTwBoevwU	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	101.9.150.55
2018-04-28 09:02:13	5537002d745051887e301e64bd2a209d:LamisyXGNnemwVMAhR4npjRKPL90OP99	Q1:艋舺服飾商圈	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	175.181.190.142
2018-04-28 09:11:58	5dbe58d31cf3d90b6871c9c5f449d790:d0skk73zh4ERv38lBc2XyVqURw1I96Pr	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.31.3
2018-04-28 09:43:47	592e49d2493b9f08bd3442973710c162:e9XctLgHrQePzdz0FoFC35EsRceesxxb	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	122.116.40.50
2018-04-28 10:10:59	e960010cf4fb505c8aa02e7ca5c82b4a:K9fmkYh8icRh8mTvdgUIqjMQQnDZ5JEk	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.140.31.3
2018-04-28 12:20:37	daf342aa760021d7dc8db6bea61eb2c6:caOlzbeZnrSA4EzgYodkRGb7BZG60Hf6	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	61.61.226.82
2018-04-28 13:12:04	a195dc434e3ac88d5a08cc38f3c22e78:EciumwULsTs1LDWtel9VvACBtPKRfv3v	Q1:活化青年公園,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,;	1.167.48.88
2018-04-28 13:50:32	419e31ff540a89bb11e162cfd49f4f1b:9W9Gp78LWqJbIWBQO7gBndKMNeg7I6DI	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-28 13:56:18	b6efc0b63e1af27068c9f1ce34f0e3b8:x6aocNtVtOcuL6q9GZPsAZ28AQuY8NAT	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-28 14:00:43	976997bb57e597c3cf2a3acc7ec120e7:IVEd4RrNXdQhxlGcfLiA9ZoVnDc1hrz9	Q1:彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-28 14:05:46	e5f2e0100b5e0be163eb7d55507b4d96:YRuihfmVBdSAhrs5FM0TS9sxxnbfeRja	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-28 14:07:05	35e57f216b6d6306dd8cafe463e6e87a:8KwjasZOurGwtuwuu6t333NvpcaJ6RHz	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	114.136.88.149
2018-04-28 14:12:47	0f80fd0518ee6d12b2548e3d96633d47:I33KeDPI04Dlh5iulQJJAVJjk9TyHEE6	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
2018-04-28 14:19:48	8baf2a865e3baee72fa733ba5c4eac11:iPnBdYQLC9EEiDtIdpaBK2F3Qil06LCy	Q1:活化青年公園,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	223.136.224.247
2018-04-28 14:21:34	2144834d282c99a83e6af8ce262a7a01:wn0Fqrg78qv4iFXm1ExdojUhze2rGVZt	Q1:活化青年公園,艋舺服飾商圈	,彩繪桂林水門入口意象	,艋舺文化美食趣GOGO讚	,龍山文創，銀青共創 讓世界看見萬華文化底蘊	,;	180.217.106.83
