2018-04-17 09:02:08	8a51054c07c4d3d1add07ea24c38da89:xoFLoW681fX1Gk5e7bGVoSZz1IT7ukhD	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.163.125
2018-04-17 09:04:35	7dc25385500319bd99f108fcd86f32ce:v7H1WduaEQJJmqD9WDGLbiKxRLWFkNdl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.163.125
2018-04-17 09:05:19	c9a2fca47fec85f278bee9d7b1795d10:IuKja2c465x8C7X6vMwTDnCtY2Su1GOR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.232.186
2018-04-17 09:07:03	c3e51d67544cded0ae2fc5c998f3ad0c:0QinGlqZyYn4nLbm0F8ZmjZ7JQO5YNDf	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區老幼共好	,福州山觀景秘徑	,;	172.18.84.67
2018-04-17 09:07:24	33348d84ab3ef48928e6ad19a4f2b9d3:LjSYuk9nTco8PgmMhY8KA3niM9zRVETH	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.163.125
2018-04-17 09:09:14	c8f6bc914035fba10b3d0fbd670e7769:zb1Vrtk80bb2bcSIBCjbW3p8N3v69IqG	Q1:綠能台北－由腳做起	,與自然共生，社區老幼共好	,安全大安，美麗未來	,福州山觀景秘徑	,;	172.18.84.67
2018-04-17 09:09:50	42e4cbdb20b2fc658ee48e498b0ecb8f:ooy0Q6OWmEQiuJGQzBh3iPM05VBdP4Lf	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.163.125
2018-04-17 09:10:19	cbbc50995285c48f7320711045427f58:uyEbxvxxUAE6rGTJ6eDyjWPrz838byMK	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	172.28.16.86
2018-04-17 09:10:35	3e955dd3920b8f510f3d87dd1d84a7b7:ldidoTUdzK0DnmatkSO0lyh9u8kFV8Ef	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	115.82.113.121
2018-04-17 09:10:55	3d5c75c0ca76da4feef71946acafcd52:ZVTazgBhAvOk1coMZjrqZVr8nZXiEYLb	Q1:綠能台北－由腳做起	,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	114.136.12.153
2018-04-17 09:11:12	f2f3e33e4e6abdc3a3733a2fcb2ca355:HLQIkIc5MtVut0J63l1qhsa7P4DL6OiW	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區老幼共好	,安全大安，美麗未來	,;	172.28.19.72
