2018-04-22 00:24:56	2e0692733a753cb89c69279fb0ab5392:dhUQ9QVDMnqRxA7K1Y6zqhafOTT98zPx	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	36.224.175.26
2018-04-22 00:28:18	b4fe35b0ff8402e1c0a8ca642690b907:lHfQH3gyM2QGGaesrKQ0GBlDxI5ge8Ab	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	114.136.236.36
2018-04-22 00:30:35	aea1c001a454965262efc857b8ba1298:qNQflKxqFlg4JTvWo1AwG2ZC8XBQoVYR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	118.171.137.73
2018-04-22 00:36:54	1330714209bcfd2d2646c83ccb418831:qU8WSN67dDBB8fDzLaMMV3k4s9cbb0im	Q1:安養平民化	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,福州山觀景秘徑	,;	1.171.178.106
2018-04-22 00:50:04	7af85c325ab5ebac598c41e1ae96d20b:aULy657ICjl0Ntn1gJez7VzSFTcUSneE	Q1:安養平民化	,綠能台北－由腳做起	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,;	36.229.23.123
2018-04-22 06:28:09	c7018369fd3352c3e4368082c97d3ec7:50SWYevchsy0miyo22NEvx9CClLcXEQK	Q1:與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,福州山觀景秘徑	,;	1.171.162.82
2018-04-22 06:28:41	85f02a3ac76497e2d953d66fc3c4bfb0:LfEu7fexshUDsRW8hOxhUY5TjY0OfSkZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	49.216.198.216
2018-04-22 07:16:13	8910de87e209a699ab7fe929ca6a8fa3:m2HPFUlMldScYgqr562D0RzwRaakUiPS	Q1:安養平民化	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,風華再現通化商圈	,福州山觀景秘徑	,;	180.217.133.115
2018-04-22 07:44:37	63e3da8d34322139743ff1033e631f1d:QediOkYPooBjXWzC3zSLVj4ggMxwnZtR	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	49.216.241.212
2018-04-22 09:37:59	260ed6cb312aa8a2c512512c6eff97f9:fx4IIz3ejHHhQfGrApWNUy17wjJCpwRS	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:38:51	4f6274b431e9e9233c3e4cb86ee6f79e:MIYSlMMbfX3pNTyWBSYgHBrC9Jqi4FeC	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:39:32	63bfc8e449ecf59a6f58e8925f77a09b:XjtXA4tXz6a63Hgvz8s4yIRnfbfR6KQl	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:40:10	1b1674fef303c09cc1eefd2dbcdea7df:tnyHPa3H5UC4HZT1Pndx9HWQ8DyIuufy	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:40:55	505a8f1432c85f5a38fffbf7c1c8d710:IEj7gSaLBHXm9WNEoxkvIqAhcPlEJg9H	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:41:37	dd767c11c33a80882ca86b5753c1ff1f:YLQrJpHJLEtpEJWYEqLG7oeQqDzOFxnY	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:42:18	3774708262ab9133c9dbe938fcc91024:RmYA0HeW5VLDWx1mmvEcRsCk2udcAR3Q	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:43:00	e7c7b7cb533c4ae9b9af58af501554a8:lC2amAPbqPiIZMbM9e1lBmtFCoyhZt51	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:43:41	fffc692f0fc075e28a09f3036fe10855:StfNKhaGv3V1VGhhS9EV8qeMTcNnTs7E	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:44:23	f5c8b0c642a414fec0e8aa8f1303d7bc:wAjKsubsHHqgIL0cmIfnOJiScR5pBmKC	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:45:01	3726b59420bf7ebb603976994bdbf9c3:11bW2yWGYupTErfmuW3a97nhMBV7P11D	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:45:53	40ea27693c911e5b28a517979f0ad7e5:tyis8gmrY3irniodfaq3thgsPyIpYY9e	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:46:40	4f17df2afe2c20e2bcc07cad2925a441:ZnWyzwFHU2osm2KdDBFNlLLLp1OZ0BAZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:47:19	b726b54e75a457cedd191d864255a273:XJdiaaDld5DWE5h1PEszE21qvEAurmZ6	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:48:01	c2e822e84bae8641119e636296d0d39c:DCMwJeZyjmVZr7uobVhXLJXCJkDUXp7e	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:48:42	7433b07c61f75abdf942c06326df8625:PSWjk609RdSZr6z4KtELHtRdIGEsV1gg	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:49:24	b4d682af6e6178fb43a24b7218f2f646:seOceYX1khGGovOurw6ZmkiLl2btnSS4	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
2018-04-22 09:50:07	6cd2454eb5d536d482cff8013ad261d3:cXcacCILJnVFyNzFDcxw3OMkMWDZiLHZ	Q1:安養平民化	,綠能台北－由腳做起	,米煮的大安區：食堂交流	,與自然共生，社區長幼共好共樂,安全大安，美麗未來	,捷運科技大樓站の第2隻腳	,風華再現通化商圈	,福州山觀景秘徑	,;	110.50.141.193
