2018-04-20 00:08:02	1211b0705107235db4fdf56eca28ec55:iR1PiLWjsbrD5FzLySxsGLb60HI8YTLH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-20 00:09:19	c5e0b10659498380cc4955d9ccd5aeae:sa5yLTIeLJtlf09eW7GIucQiiOxikKou	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:10:33	08fea1b74b2ab36beecdbdd30632da6a:37iD8NMqD9M5vGyuJOb7gi1oBYlhuSke	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:11:42	70ae9ebd8dfa016d1884d6aaf1541702:49yvbDHsteOvnu0bOZfTfOmNsdu5TSLj	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	150.116.119.69
2018-04-20 00:12:44	71ccf39ff20addc42573c9877ea2f7a9:2A2LbcBEGtj3ZboaNGX390O3aQJS7S2l	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:13:48	0a5fd06f224aeb1b65d0533829ef7ceb:bbVZ2EiwHzAHv0nkxlKdBCApcbaNuBgj	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:14:59	4edcb6efda895b05bfa7290e9aa85491:QNQHU24f7yvCRqgWqFrEmAiyjdWVVK7t	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:16:05	a0fc23549fc0fcccc38c602594f05140:xqvdjh7w9F7oMAuVcyHYpH2xCZmJosy8	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:17:09	ad53229baf763e05fc54df02d8bae0ae:Z5VvD9nFWx3DeyPCEWggBMKZrJs3maew	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:18:20	774aa071351cc3680a9ef64fd07f7f39:4FmFYkUT58OriyuQUPAHu0BLV8U5LNAO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:19:20	68e291b91e4332dc3d31bbd101268dc7:R9OGdRW6UHlfUsO7g2uLu8KMkmZ3pQgg	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:20:29	ae61d8944fe1ae203bba9597cab56e90:FRLh0GCU4em8B2zIq9FdimOUUzeaMbW2	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:21:33	c3409db074befb73aa607501cd5d1dff:SndsrvgwpImebuheFPKIVmEKoTtkBZZp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:22:39	a14543d895fee6456c163a5b7bbadda0:DVhbg1Wlst5MsImV8MxwCGwjW3hUWd9Y	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:23:40	d9981ee10fe6c029e4a2741df0161244:q3ueDRCt3RZXEIKasGRrMtDu67MYH37q	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:25:09	150b4dec163abeb367820f19cbd24c61:nw536tHtgXLtUBF38FUXl62ge0DiOt2f	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:26:23	bfbedd0e43e856c59313f521c4ff0753:SzPnqj7mSTCsRw5kWG1AvnRWegUcbrZO	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:26:29	d95d2e8fbdad16b9aa9dfdef9f2cb12e:hRThklLUBHzaGf6oTN7Ahg9Qi7mbt66o	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.117.254.103
2018-04-20 00:27:40	5e6c36deaef1ef0a12bc9421df1646f1:DAvs3Zi5tYhDAcuehBJ6r4zuYb2bXU9r	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	150.116.119.69
2018-04-20 00:28:30	e19145da61f5008ecf3c03d1c1544d8d:fUdqXI9xDUuF33p76C4WzKF9cpMcOHWg	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	175.180.210.55
2018-04-20 01:34:00	3ec8fbf9a997d5ebd462b51608255305:xOTuE3VoHXZyACJaJJbBBSVjEBeeIxmS	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	27.246.198.87
2018-04-20 05:40:09	6466a20d423f66416d9a3d5aa4a8489d:XWQbdJaFRs3XVkqXAEkafoDErsxQsF93	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.9.126.26
2018-04-20 07:22:04	190e515f63429d8b85d3cf7713e51532:bCIcDIJziAWhS8kFBgYrARHNWKW5bzKB	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	110.28.72.71
2018-04-20 07:47:06	d7633b4799c38896fec0431bfb5ca740:IzXyu9QRcSFh7PuC9TNgGCzqQKgmoQQ6	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.125.178
2018-04-20 07:51:35	04ec851f96dbd7467a2bd230445a4ef7:9XB8CdTkctE8PhIHnSiByUZqbwY4n7ix	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.139.132.44
2018-04-20 08:02:47	72ba67f6af4ca14c33d7580e6fbecb75:VILgQKaCWl8NC0J0DD8MJIE92x2ekAnM	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	1.164.246.28
2018-04-20 08:13:30	43d4e9d1a5e16d2b24e1d2cac102b513:8ZCDIWiqan58cy3q0eSW4vBRx1u3Adrp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.217.82.134
2018-04-20 08:37:43	62fba7718e93f12cb26c751921e36f54:ewMFMb5BbjdNXfZODbHCTWAGyoxRTXXH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	49.216.146.173
2018-04-20 08:39:40	52e8745bf3f5f641aa28e92700bb23b6:hyh59JjrpV1cKXb1lHnxkfQlrsa7jAMh	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:47:23	825237b1628a3be939d8b26e1d2a79cf:zjOjBnBTF8vqunfZ2qwm4YaqbRDy9dI2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:47:41	043543b017e5b5d40dd31b5a19f7a768:ps1zor2hAjm1ctWWcfhJfg53BDnqsxYY	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	163.29.132.240
2018-04-20 08:48:22	5c6e55a8b5299e0aec37498980643844:91EHWDe4XSA1PJJYBQ6HoTgkFcLa8ZUI	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:48:53	499053e3d27df5237008bf8a36e68f8e:iDHK7KNRB6aE0wqbLYubgIAFCQUcpXjG	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:49:30	5e9ac2a3accc4e030bf21c79a5e03ed2:ccpU8HhCCL4B2RnnYONtbtNn9WqdzUh3	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	114.136.194.93
2018-04-20 08:52:22	1261c06d9989566dc5be3419e72806df:6NL4gBQWipb89Lrp31vJus5KoQhhYqFM	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	114.136.194.93
2018-04-20 08:53:37	627c583a91a5a695e24e8d66ee6965de:RY4MqDyE7jyJ701UX57o6EHgAlyWpYeH	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:54:05	5cff86b29c0c7107390599a62031fdc0:Dgi1xMtXkHMKzckntO1Q17rPA0Tljk5Z	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:55:12	22700add27cd360a2924f0b8f53e082b:QhxyHQeuITLqmVtwBFemsFVklnHfz52R	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.136.58.73
2018-04-20 08:57:26	b4aa8f72a002c5d4d577fbbe6356cd29:rqptS9Hw5YLqCRrXc6GEQrQVgTZ0N5Ef	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 08:58:16	82e5cec59798e7af3db0aff6ff2c2ad4:EhIjI1Oxw42d310aFTuJ2br7KnOIWond	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 09:01:56	5d3d50844e2c9f935b17a1e7aa6e0e02:0mmkqHxH4x4r6EVAqncdCJpnSGFMlZgl	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-20 09:03:07	fbf9603df2ae5cfb5b291b66d3db479b:2w16oPxNkUSUWmRKxxwfjubebUcMFcGM	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.243.113
2018-04-20 09:04:47	ffe2e2b647d3188607323d435da12c3a:0SV1EjYG8UO6nobr03ZgIhQVdCDXNTso	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 09:06:20	0c5f168a3e46e5a85bf73dc1efa8dd91:Ar5wVw6t68rXsUCkjXpeCbcP4Xmfdbcy	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.10.164.227
2018-04-20 09:08:25	a7a09e3befa607a067f7d9bb1373e3a5:PkMCnz6pVRFURGqOJNSh6s9yz172tS2d	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	172.18.87.39
2018-04-20 09:12:20	2a14facbc063f9754fc5848f474292a4:3BtKnUoKRjBhS0rEh75DB9x9QgAJ4p6G	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	101.9.133.192
2018-04-20 09:12:56	70be0cfa810696705b2b8f17a64ccdae:BuqLQryFizfTqX6AsyqTosLgPOCG2QSC	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.9.10
2018-04-20 09:14:29	a64d9c1860c0cd2c78b1b738afcd89a6:ForBwfSBQud2XYW2HbhMpv1A1PrmRisV	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	39.10.164.227
2018-04-20 09:20:32	1b9941f96af164bc9542f128a46477e0:vm58CJZ4TE65JLSyqaYz1C5VHV0IdFbH	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	103.226.214.250
2018-04-20 09:21:57	380ce8ba654df41375f3caf8bf665624:UOwNp5sqd8CUwYh4csx0z9Ldyy4Jv5ku	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.136.63.105
