2018-04-25 00:23:48	267101e14e238b6c39ca3065b580974e:fWsXjFHNvqsbH4src2UBg2Hyv7POVJ29	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.133.73
2018-04-25 00:31:14	3d4434c02943e536b4968eeba4407255:MRFOSt55Psln5bYoT8eEHUfPbixwF1F0	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.137.254.177
2018-04-25 00:46:08	9ab3c29f794118239c4b00600e4ded8d:GdJsgwYZ87RhON8jCU8NjmoKJnoc1S13	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	115.82.210.144
2018-04-25 01:48:03	d324c7e6e6439110753aaf1508dce095:cwycBtqSCorTAjJzwTm64aH1JLQXiLar	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	115.82.19.117
2018-04-25 02:52:38	d6021e9f7acfc6b0220a1d63cacad363:PZ9AMYg8m3BbcBRsCq0ps6eX4dt3XI47	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	150.116.180.135
2018-04-25 04:25:37	cc48626534125d2373d1409e52914c0a:dRScDgrQD9rhiVFcFZUuo0n6HM1hx9RI	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	66.183.95.60
2018-04-25 06:36:44	e4484ea103fff8f20c2a84f8c87db1c7:vaC5PoA6WlCx5m9dJsrRCk0qiw7qsUcD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	110.28.0.35
2018-04-25 06:49:38	792ba25e47a041474cd3efeb2a4d6e0a:jGZIzG0gWa8of4rXXJjNwFT0fiDrPPji	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	49.215.229.26
2018-04-25 06:58:40	74f9c217b3ccce339e6dfae5d881e7d2:sS01GzNco8CblZ1CjxgbOaEjhYjw3lFq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-25 07:05:19	181b1a05d8134ec2dda46862ca12b761:mpItiXJMK91LdGhjcaSUNHfUUayRQgSl	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	36.225.94.51
2018-04-25 08:09:42	8b8cb2a0829d1fd799f9f50914e88431:R3ntSUgKRSX0oVEKUkDHACigziVvBmjM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.192.166.100
2018-04-25 08:43:33	96b55c27ffd40ce3fd288bde0a907e54:XwWkrun9VMc1Qah3OU7lgYnvhtnciez3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.192.200.101
2018-04-25 08:45:48	cc49a5c1385bbf799ddf2c205d48e31f:6fZ115anehETUs99X7hxFPKl1kLRnWtr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	180.217.229.159
2018-04-25 08:59:19	6fc19c7068cff59feac97a4ec7ba40be:JyZvWYIZXJduPyrCHUAFJYghNenM54OB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	61.65.163.42
2018-04-25 09:01:38	b0b6a93fe140ab829ffd1a4ed7b699a7:RjlaNIS04OpsGq1DTuzkMYx4et5VNada	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
2018-04-25 09:01:46	a32b290c101798720b664380cdbc289a:72HMLZOlqfGw8qeMuvisfVMzximLV4e7	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.52
2018-04-25 09:02:37	fbe4c1fe42dca045298a6966e74aba13:lCwn2OrjRZ3xLWtbfo2GxwtsUjL0xonN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.149.131
2018-04-25 09:03:31	da009e22189d7eedd76a8f1195fd81e5:FMhbDKlYMSYMUZqoGoP33N77gm4QIWmc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
2018-04-25 09:04:04	bac9516182b4ea6b98c542ab9ece0515:HfkY4oqeRzDG5khGmbE6RbdDNmiTRL2W	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.52
2018-04-25 09:04:34	b511c1883044d265aff93d36e5044203:udFA2tefyraYKJftbvhmECYFT7kR9keN	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
2018-04-25 09:06:11	20784570eaacde0402c4d8a787d2a213:7bOXuYKwkIe7NPAf11FILLmGF601Co1r	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
2018-04-25 09:07:00	87f5a0196c1ba7dbe283bf8dc135031e:GejnfzCG6QzcodEkbM2iT4ed5jGHQPCH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.52
2018-04-25 09:07:42	a97cad733ebdd5a3392e7b7bc1788ae6:rFJkQ9SMY9gIpLBb0JUBSUqaf6vhUQi5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
2018-04-25 09:08:46	33b2a0050f22ae6a827e6dcf53697a2c:RTTOUTjM93LZGir3iWOxRqs07m826JfB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
