2018-04-18 01:30:25	70c3c2efdc8cab63f19abbc03c8147b1:sKLfEc73qek2JzGi3VFNC4DH8Us1Ss3d	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	1.164.47.183
2018-04-18 05:47:51	9ea193ccf2a5d1708c00803db05e0eae:q9aQVuFyFLjuoyb0LJabqvWGGS3Iy59R	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.36.10.218
2018-04-18 05:53:32	268eae39195eb0e41f6665b22e832a2a:fNJhsBepDX0GNq0dyCiusJdYLvAvvoki	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.36.10.218
2018-04-18 07:17:02	431d4b0b2ce23a054e00384fb2c7cdfb:IrdLnyqx7zoYFHzz2ydL5njcAbqYMb7S	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	175.180.71.66
2018-04-18 08:03:11	b727fc0381012d1867911929772d6ef4:BKVwy7UOKBOHWkumHeq0jYFcxX07o7x8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.25
2018-04-18 08:31:21	730518bc48d6678eb1bc65b9dc22cd77:Y9SAafrWZU7CQoAgxU6OBPzLlIgrmpWv	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.36
2018-04-18 08:34:16	da44287e1da0853d2a3a491d8dcfe22b:BkXfI2tRUveOivmA8zioJlQMUleXIl0l	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.36
2018-04-18 08:36:39	9e3ed15c678b37b9147152943522f13a:Y4WVmrsujH0SEANtSZ81H1JfvcekYJAv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.18.97.36
2018-04-18 08:39:56	e294cc6c383fa20ee59144de1bd96770:a3kRWhfcqlRSeSpyZU20rrhvq5VzIqZp	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.36
2018-04-18 08:42:05	341586a9e19f95f31a90df447257bcf5:DoS4P1TizUSJ5VzfjWyVbx09jM3HVNWM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.76
2018-04-18 08:45:03	cdf15c6a3569dbb90b8d48b58704d1a1:8auN6wL3O4Ku3IuyyC4rFv7uBUszsxCi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.251.62.134
2018-04-18 08:51:33	e6ced1d600f14178cc450b190e40cb7d:bIvWeNMktsaVg9vzBOVcmt3xxYtq0fH1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-18 08:53:52	8114436fd8b5eb46bf8b71be4e07339d:eWBRXcshpC8XcJia4LbOMxN3Mp0MRr5q	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-18 08:55:18	c42e5522e931bf3f546a25fb1582d020:novNP36aHfZxDOQvl6dAN9nAYEqFIIfc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-18 08:56:19	64f2f6374c09df748a89abf8a96e911e:sexnZHzKfurLqqrdHS9U3sAZLgAyTIuv	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-18 08:57:20	b37d97b41d616e645816d2ab28f32148:24jiXM00K9kHp0CfvPQvEnQeGTSzFvYg	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.159
2018-04-18 08:57:47	0154b7f4522f1b7ed18f2661c233474c:7BN99SKD0MmBgviVRGzqPSZYJgjMlHmU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-18 09:02:07	519617add50ce8fd9dfac9e883268187:mqv5gePBxJyJmkq6RR2MRINnZwEHmSnf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.28.1.101
2018-04-18 09:03:42	1f644146e386b123b685d304f39a1a2c:JBCSRhhiDXjMADWa08GB2YUcXQdWtkFD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.28.0.85
2018-04-18 09:09:39	ecb06d0367deafad1bcf99f28b8f1cb4:XQStQAnjzg4cpusrFnMw8iYsHKCuNQyW	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.0.93
2018-04-18 09:09:46	2579bdcecc23372397c37e78f68919e1:qaf9FPT13t4NUAqYPVFB3QM4miOWEdzA	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.36
2018-04-18 09:10:04	141404da7cf8c90fef8afbeeb8e03fba:yuLQvRvHAWH4Gc57bEsjD9L3vIhELfPx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.62
2018-04-18 09:11:08	47898c55b531bb44fc838327615de1a2:iwmXGfGXGhOsPcveQ7tpg91J4JNnGoFC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.159
2018-04-18 09:12:24	91d0ae2ec7bc8517b485eb3c6f2c3d0d:fEPeMPW2eWT0IVZXISBIhjggZkZWrjBH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.36
2018-04-18 09:13:22	d46ddf17ee6c3fceb613e4024de812f2:m9GC78jJGfYDMNyKXkbxdp9vCVZOTCMO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.70
