2018-04-17 09:06:22	59d86b3f2f7a103e68f4006ed1bf12ff:4imp0XN1Ol16x0CrVq0QnFJJiZcatY59	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.28.0.192
2018-04-17 09:06:59	6983902aecc905e7d1d17e7ce7ac7095:pJzZp6IoexDJfnag2HB2gPtvuDYRhnfq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-17 09:23:46	1ffcf851a410e31e88592ac7a003739e:lvHLb7laYQikc7h6mQkYKOzWMVA3agOx	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.28.1.53
2018-04-17 09:23:58	f69f7ca300e5991e99c9abf8ce6cf38a:qQz0hIUy1jJS8qfdy1KAv88G2cH3lPOQ	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.51
2018-04-17 09:33:56	ec68c1a2bd08706f8934d95297f75f18:TR6tKbgOhE8HFfswujXnreplgleC9wVP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	223.136.171.20
2018-04-17 09:35:44	5426c324bbfa2abd2e3f96901092b6b2:n1xDW2On6A4JO8vSczOdSHntT8AOSYIf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	123.204.164.40
2018-04-17 09:38:01	da23decb4772978089514aa15db89528:0cItn9gTZTjSgHhjFZtVwSpahYyHmaSJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.196.16
2018-04-17 09:45:23	22bac4b13e7600a0e42df5dcab8f6471:2ufj2N5yswMvKKHP6GTMxrw34nI0JetJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.77.49
2018-04-17 09:47:59	e79d7f598622bcb7a12a315f5d992cb4:PbTR9zs9SMlrTMmGsh2zitTrw5R269Wn	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.77.49
2018-04-17 09:48:39	b70fb6f616d3031037b9c7dcc14725ab:fbJcf0utCULuyy0GLmLXhyfOscLnn3wR	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.29.17.59
2018-04-17 09:49:50	13dcc7f5eba6c42ce521a49dd5248910:deMCe3zuoip2HT1VmX0rSwTQFicNW71w	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	10.254.248.228
2018-04-17 09:51:42	4ca0d479007890fddfb8a47327bf3b1d:1mwDXwoNdVayREs8NhYFkek2CbCI6ys5	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.137.77.49
2018-04-17 09:52:57	efa814bf4718cb78a300c4a51467243f:PH9cnTTAJ5tfmsJcoeV1Oq49o9fy4rrc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	114.136.108.178
2018-04-17 09:57:17	bcd16e2d1ad424da929f888c4ac9c62c:fUKwmmIe0af1hFTb8KyVe6H496LVt2D9	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.164
2018-04-17 09:59:28	54a8bdb357f13c445ee18390c5bbe359:GiTsQbfnaF7yNA8KMPleDPUkeHunkI89	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	10.254.248.228
2018-04-17 10:00:31	97531cf1daaa341b4750e7ace32caf12:4VOzQHtvyWX0fnciqAQuCfl0zZe3gFeu	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.191.40
2018-04-17 10:01:41	87d691335b242c2b7dbd2d5c31e44cef:Mg867y3T1gIWAo56OeZFItGIZQ7suORm	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	223.136.171.20
2018-04-17 10:04:44	9f02651e6f4b4f6b2aacfc6d74d4bdf1:yHHcGRngd99lDUSpmBXFocR2hEXfKSWz	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.191.40
2018-04-17 10:05:27	c7610dbb149bcadf3a4137fa7a853fab:XI88FRxdbajFT15ggeBOWOL96hkpWJjq	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-17 10:08:45	3cf7f00d61c68b42ae4c300881b76742:EEJPygeTVZUsCgkvY1JyuAv2YdnZhUHF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-17 10:10:54	52f2cbcb86c4b295a2879cfc467acd3a:rctwp6qEv7W2Lcun2d4fpjDZmAOSF8fJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:12:57	697f3faea5618a07f0784f7b96e54cef:V7OfGuCaVKE61FseIxoPzterIxDG5KeF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-17 10:13:03	5f91b0d7f70629df143fcfffd520fe47:hKiLF0e8v5YEMwhIzzGLGA8il0tcxMs0	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:13:04	5bad661e36379ee2c65cb60b259a5b28:Z1LPz7YciiWMiLVpKbXUxMRLUw0UW5Jf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.28.1.22
2018-04-17 10:15:15	ce51b8600f036275227b8bc20e531246:HdXLcscjzVRAhaGPXay5v9IJI12qvOoH	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.52
2018-04-17 10:15:34	1b7105bc7dc03d732b7cf29ad95e1219:EhEBRNLU3m411z21DiUWUYk26mFwF0sr	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:16:39	87592def58419adfd1353a5f7251f05d:XlDrc1JeVrCS4zCU1NQdpt0hAIrtwi9B	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:17:49	4aeecbc0511b132f0cefa774e70f6c1d:5J1NtA88zjI8pbdzWgrAcMNZJVvB7jcl	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:18:20	503d38acf9410cde0ce5e5a7487919cf:D9ipTQgh12SNFo8aZohH63SVwzoaRcpq	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.96.213
2018-04-17 10:19:43	f84e0c7c06c611ce609b1ddd22618267:TUNnTqY2kP34oLSGuizd6UpUWWUv6Fvu	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:20:58	7268a0f670bb24d9c6770ccba27a1721:lQPr3883Azu4RszLYf8KCe4NtywGnfhV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.77.62.177
2018-04-17 10:21:08	62d6f5c4bb8fcd087b949eb5474e6a81:aGKZjXerzC56IDLoans4qJesLH6Hk5fR	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:22:24	f23da206f91ba0f1173b8311aaec2506:P1OrfIRF9xtnoNOY4PHU3JLTDMZKwUQ6	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:23:17	ce4536eaff19495e7dfd42701e71afe5:qxWueik7YHeAfBIc6dWi8s2MPYOP0bHA	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:23:43	c77aa40035397069977c055db433e4e3:Q2eaaRYCftlrz14ncr4GdULadr7SZgkf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.96.225
2018-04-17 10:24:31	2f25a9be44c06e820183f15712392179:z17oLKn5xGEQlLHrX0tvQpLSlafwdi8g	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:25:29	4ccac37574983934a1bc8bd5093100e5:WBSJlIx3lvjlvvpxudlDZ2WN10lMRrdR	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.28.1.15
2018-04-17 10:26:41	6e48c783150f6acf26cb1c76beee7eb1:xnNue4Bk2UAHybqRcGtlNWIWyga4szYv	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.213
2018-04-17 10:32:13	51d394e296122312e8b430120a8b7028:Vs0tzqa7BzWunQFfnC37mfJcrQTdjNMf	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.171.20
2018-04-17 10:33:42	1c65341c15b95cb6c547287cce8f1eee:ssmVAh9nLSGvOOzYfIBpakYJ5zpPnT8i	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.214
2018-04-17 10:39:21	1d01dc8c65a699379ec004ba2a1dde51:wIjoMNGKpxlVNnYGOtmZiJs7bgXKTiTM	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.28.1.164
2018-04-17 10:40:34	c575841342543fc89fcc33dcdb7e319b:29aW2ekxZVWAsYDORpVEO59Vz8ipT4BD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.28.1.55
2018-04-17 10:41:30	89238b528ee8cc6e3917c1565f681878:Pxh0JzYCqkXyESLaY2qgUvnnq295sm6d	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	110.28.196.131
2018-04-17 10:45:46	6ab819ec2e07ae77664ccfd6bb5e33a4:P4dZ46OhN9kOGOwyley2VOhUKsWZuciQ	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.16
2018-04-17 10:50:19	11fe3d8e8cf6fc831d87fa185002d8df:3JL5UmC34bCveF8rzSsHtAC6ZFbeOa3j	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.0.233
2018-04-17 10:51:59	3751aacf6a50442060e3109eb7b3b87f:szydezPiRbZ6sh5SIgvysZufmzx3XDyR	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.51
2018-04-17 10:54:02	0bf69d9e4c5dd5fa310fd2908118023a:ATyujHqqnv3hGGModyThiCjRRWmjcvxi	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.28.1.51
2018-04-17 10:57:48	bc6a71fc1afd57ac0cdb2ba5c1431783:5naxR6ZIiF1axSZYL172T5N8DLd3eiLy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	111.243.4.76
2018-04-17 10:58:29	1589999d8b389d2b8c36c7afdd4cb949:RZLW3otoeopbEB6Rsef8uqcBxAscBMK4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	172.28.0.210
