2018-04-22 00:07:47	8806f841e86920702f08b38d12b90ee5:9bZrPoDkqq6uWv6VT6CPrsO3CkV2biLM	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:10:50	c43ab4b597bc86c8fbd84fd64072186a:NNoWq2d3iVv6Q9bdldlf56y3ZTY7dQFK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:12:45	2613dd7eabdc0a093728c72af3c138cf:XGYngTekj0XxAEUiWQqdNgu3QfnlmgyH	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:19:31	8fee42a121a9aaaee3128e49f3c2f026:rL67DYLKYIIRsK5Hk4FfIYlRJaPPkDOS	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:21:38	9477645685df429149dcf68b5337ab19:rbkXBAG6ZIJsygor2CKUugijJs5TftH3	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:23:30	5651651d3e984140a58f52805487ee86:truMX0dEUvhr1JHBDjhjRXvdyCxx0FbW	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:25:34	4cc8531f05b0faee499f3d35fc64338c:FaGXik5324nzKUDHjJtoIT4iHr2ijPPB	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:28:04	4635aa0343f14b3939103e3395f0a186:Vxqcep5tS1VqfRKftcGEu7KOYmychim6	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:29:51	7b4da9e681f482b0f738ad47623f8fdc:EjhhTlpWKuEmESsVoXH3fDeVBV6ZhYhd	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:32:01	80ef5bf375faadf6875acc8ce80ea22c:1mDeJADPhx4pMzCjg6yUCnp444SzPXx8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:35:09	d7d8d08685deed01f6b8ff65ed2df9ea:CHUtoIoZXYi7mvXeVNA21XHhR6DGcUJc	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 00:42:46	fe171535dd7488d1ac53d6aca8b91fca:i4wkYfKFhgRb6Xf3xhl6IU6dFb6qV9fK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	118.167.138.223
2018-04-22 00:47:56	56cfbd056565e95cefa6975b74788f97:E9jvxA5fnw7M7D8MtX1O3NmrlX8zsihS	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.204.148.163
2018-04-22 01:04:26	8414e965989147489451c8488fc93d65:iw77sBPOag5HvQk4qDCLmDYzLgyCLsyU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 01:06:43	76dff2e2d952b88290c21d4523245ebb:iY5pdkLfHgCQrKNcXMihBqlAgOEgrNNn	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.104.243
2018-04-22 01:46:40	be11d06c42db98aa00593df35ad15a07:2gZJG8JX9QirCjBaMKzwoXSmkLic70PO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	123.192.236.223
2018-04-22 02:17:39	8e530b608a3f51cfad5b9a92ee9e8232:Fr1ZLKFXXldx51uXl4xYdl98YDKHxAH3	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱三：活化社區青年參與_以松山區為例,;	1.160.195.69
2018-04-22 02:18:45	e1cb546a25f3da2a12fc958051cc9bd1:srmTvCoxsljxeWD2PBnMjR5TTiOMkfjh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	1.160.195.69
2018-04-22 02:41:25	80ba06a6dcca4c87cc9dc87451ad9987:vVpZLCHIcXNlf90QapWMSVTlfkqFQtEb	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	101.15.27.58
2018-04-22 02:43:28	8a3284eb51eb29d438b31242ca1995d9:FKQVFTVpfUmysDkvuRe9qQ7KZuneefhT	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	101.15.27.58
2018-04-22 07:12:53	fe21847286e96f2464c9e4abb6327c27:lAk8WyKOshzrfXZbWjWaCsUB6gEFdzqC	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.224.109.122
