2018-04-30 00:00:08	514ae9d6743ebd44b4bdd3a18c7baa5e:vv1g9bsO7gThJLhvf6sLYgLQniixgze2	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:02:02	b2e79d76aa0641842781fd8750fa0d4f:O7qdy4CVXOXySNQykDcrrszyrGw2d603	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:02:30	f5d849e762a7851b0c2f2491c1699094:MPVyAZMuBcjMdvSINs4Pe9bUWXdi5DxP	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	27.247.7.145
2018-04-30 00:02:33	2622e1d7e19f6b4d011d6c864896b8a7:pLn8cnprTEeDMnEOZ29deI9vU9RYrBN4	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:03:27	742c1fb53cd0467bbb2af5eccd26773e:42K5UQSpQxGilhcv5hvUQGHUSeLDAq2j	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:04:14	98644138238d5066fc5f124ca3488471:4c6X9LgJXT1siuxyAfWTgLvgwEHeCJPp	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:04:43	9cdb6799c99f61df27655bf6dd6e83bf:ev1thPCkgpUqrbxL949i9TUFt8T7ehi7	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:05:13	8e276b08a6aad6c5e1bf68677b93eff3:qTen1rvQt5bdmxgtwrizS8CsVFwpOX4E	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:05:42	e79ac2d8c2cf9028f5d4eaa590912fa2:vTK19b0XPDniva4iVtWjf2Jrsx6712mn	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:06:22	7f4ce1f84cd154aed55153c483e66f0c:PvslSXIrVT7h1tiGDNYWRNZ3ROurjOAN	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:07:17	e70b1958b3473a4868da6599b77425a8:G5zgV8CqPrL9uZWnvq5CGWgmWAY09tZe	Q1:提案名稱二：閒置空間_空宅空間改造,;	150.116.181.101
2018-04-30 00:07:57	5f2499a2e267c97718b3b8a2e0c8881d:qzNLPZAaCgi4HG9Az0YYLF26Hry7vMth	Q1:提案名稱二：閒置空間_空宅空間改造,;	223.141.207.179
2018-04-30 00:08:51	cc528f3c69da77a9134ad6a362735cd7:poz68J3IhKgxskkRIRWmYcPV4WZCOXpH	Q1:提案名稱二：閒置空間_空宅空間改造,;	223.141.207.179
