2018-04-22 00:00:07	36f61fae4cf2a48f10bd229248eb12d4:7uV9qOivAsXh08G1tDL9IglkmhErm0yF	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	220.141.171.216
2018-04-22 00:06:54	94f7e33b6ff28ba60453e6c2549d8141:iRTrHayRXxJ3sZvDF73uK6vA0q0hUvJb	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	220.141.171.216
2018-04-22 00:16:48	9045af59b6252b2cae92d5410389489f:X9BKjZQMqLgY6TT8XpY8YaESyy10JFr2	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.136.254.21
2018-04-22 06:20:30	8c1d183e241c470f744527e75bdd19b2:w7OF3Ept5hUp0I5isv6sHLVsvPowOeGJ	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	114.24.216.58
2018-04-22 06:25:59	ebcbec489d0d578032b080d6092ad9b8:NAG0wz7poMMv6MK2FFeNP4R0xFljyumc	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:28:46	eb5072b084e38d806eced7eeefedda26:Kmg3K1Bb05Kx4gAAd04rYKjyve7yghiC	Q1:認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:32:12	8c394ee489d0c3b7bd642ba40681ce03:fb4HuVo0jPdrfg4ATGyQKj13PHZipmiK	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:33:39	50f485052e3cd2f3872cfe52c2aa39bd:9CU1O2nYwp5UPntTpKXQ1kQ2G5b8MdRk	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:34:59	d8226de48ca9ef6d6ef6618895e7b456:L98PlvGatCDDRSIUwAbAOGLxvy0BAPBF	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:36:34	719334176cc5c48dd1fe9d006c8e7010:LksGzEZeXm9tZCdG5hQifsLgAMGmp52I	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:37:55	0a27a1fded1cd56629bc9950fb87bcd2:fRKBfv3U7IFrcfa558Plj5tLCEOxeHkT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:39:47	69587934879264c79891910e66570015:yI1t0JPoL4PWooJs7DcROigTRbTlDeNb	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:41:56	cc68daa927c2e44a6fc8c3faae799ac1:wTXvnNxnDmWwtOaOdteK4O81THs5qAZh	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:43:26	7bc57f90a8c7885450f169d1a8b74144:HWZZlNI0yA0Yrrj92KiF1qfjKQBUQWQt	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:44:43	35f84266613fa5e21ab1f9d0a715377c:Cg5Fi4GWlrADWXfadOya4MMYjorGG4If	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:46:03	c07440b5e68d99144a2844a5ef7c544e:9XXZJCJ3UDaQIZx3QMAiH5OniTccM4B7	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:47:22	c047b687c852cf7f20baee59cad3474c:qoEdmSmM8bZboQkm5tHSUfVid0q1tzpr	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:48:50	32dca954924d8049588238ce3429443c:k1BC7m2f1OvqGznF4wd5ytIWAJ8DpDkl	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:49:58	0e5c63553ec26f9e14214fd6f8218888:AF0JOMEoEGFNZcdDSCpqSmRukdxmmXw1	Q1:康樂區民活動中心外牆美化	,蝶會在自強公園	,;	223.140.157.75
2018-04-22 06:51:07	8ae779bfb815a5fa857dda7e642b7dea:8rXLTF0bhbv5HRXauwxIv3L49fb5dIqT	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
2018-04-22 06:52:08	0dabb761a8c856a09e48f7df486c0c70:SaztLikfrstLfZCWTMbbzVXggrUOYqtp	Q1:康樂區民活動中心外牆美化	,認識自己的鄰里，從玩開始連結！	,;	223.140.157.75
