2018-04-21 00:08:39	2164ec71f30937d57c5166ddf1dd7961:JGii3CGfnXOlCci1v2buGQ2kRdvpV4sO	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.24.50.123
2018-04-21 01:07:57	a9131131fd93036e72e9b0c6a3cd15d8:BxWTA2P4RxDjly9CYD4XulRx9L4FHKeL	Q1:提案名稱二：閒置空間_空宅空間改造,;	123.192.167.56
2018-04-21 01:13:25	cf2f0251063e3bc6403030e7a05dd8c4:YUUFbSbybeAfbwFIl5qCnh4Bdd09dkhd	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	219.70.115.45
2018-04-21 02:18:08	a28d1c93e117423109f9cd426e4ffa1c:4TllDdbQRzT0omI9cndADELSMpgnyR8L	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	61.228.216.187
2018-04-21 05:29:01	59eca0215b1160e1d3638ce481849d5d:lf54iAt7SxFpSg9lElH1Ny6Fpqjkq4PK	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	175.181.255.158
2018-04-21 05:30:59	41fd6b23382dee932c0c2a95697b10c3:dzyPay1KtOtMSPpW5nET55yTFL694ega	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	175.181.255.158
2018-04-21 05:33:48	f90e61f8eb8a2cb7bda1359d584fff5f:ZiecmraatAFvREFmKo2knFNLRRI8dX0E	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	218.161.1.184
2018-04-21 07:42:44	7083280bbfda8b2625480cb493aa6d06:yfdZEbcmWqHNhF3N4NM0Ja85QSk9XzkT	Q1:提案名稱二：閒置空間_空宅空間改造,;	223.136.244.209
2018-04-21 08:02:51	5493fdacd49df9ee9de9062b3d4f4bb8:DnBPzFkeM6MV2KsaAHPryEH1Ih4g1RZU	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	163.29.38.90
2018-04-21 08:17:18	c4f50bcfbbdbce16876d81e20d898d25:228WHCIecehohMqt8Z3ACHwGtfB0zs19	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	223.136.143.221
2018-04-21 08:24:39	f4c107f7465c3451e603ba020d2ed658:bAtFwID7VVP1V29XKwzLSLStocaJBnRj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.224.109.122
2018-04-21 08:27:16	1087b935478da18d23013b4d1302ff54:Y36gydxKAYUS7rmUeukDK0jzZGGsMcIj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	36.224.109.122
2018-04-21 08:32:08	01112b670dcda1d8adf9c90416478a68:fZykEJIqPDLmLtkf8MTcclREieoBWWDF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.176.116.33
2018-04-21 08:56:49	1c4be68feb50ab94f8abaa4099530d10:xBN5JL2j6eS2AbAnfTbZ0leU9P7nqQoD	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	49.217.145.219
2018-04-21 09:02:54	d049f1d7ee71fea3d7036e336bc87b15:AjlsEZJqYwnHuYWDtuWVijRPFlcqmoVx	Q1:提案名稱二：閒置空間_空宅空間改造,;	36.224.200.154
2018-04-21 09:21:05	b3347ac3e47ca54bc1ad881f7ab9a8d5:ffELCMPam7ILZPKOaOn48lFEnHgkdX4U	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.136.128
2018-04-21 09:35:57	3154bd954ed893967893f50bb1f1a3e2:mb9VXuVhGkX0DR3hzgM0cMuxJ6JDjV61	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.136.128
2018-04-21 09:39:16	dd130602530dabba3d778ec9a87ba80c:nDektjyXqSOPECx0VOVAhmZytOFLT5Lk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.136.136.128
2018-04-21 09:49:06	f1505686cb7451f42eacf2beea2e634f:OzbSLBlZRKDmXxotTbxayDd5U3Bo8nbj	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 09:50:59	04ab902e53d2528da5345734bb621067:bUjlGYzIaEGLP8qrA9ha51iNCuLZnR3I	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.34.58.219
2018-04-21 09:51:04	8cc1c5d629c6eb9637965d7fcbec2e8b:cNZqBGLPZNRMxUZXZEZT1Bz5A2KJxAI9	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 09:54:08	1f06e6061812f40be6ff7aac1881cdf8:ZE6YLLChjDzwl9yZ0t31oh8b6pEAhTOh	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 09:56:39	cb458539c135d6d092e01e7f6729571d:2a3vvAEPTTdihcrnkWNdipdtPqluchi1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 09:58:38	c74dee7e0044210b731df67b32eb5f03:FJ5ZNdueURwqEZYwGqbfJloLr5zkrJ1a	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 10:00:39	71120f3420833aa5d6c52a28f93b87b8:RdHyJc5nX2x9m0XqQeZUd5EOVqefGDOI	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 10:01:10	30ded6c3a0c5cf43ac2db2ae4e58b24a:zkm8kNhwWAGFTVKkjvqEztF13v3JP27h	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	223.136.209.29
2018-04-21 10:03:01	471364a9388c555973e342ff551aebeb:ALsWNq68vzMTitwIvHBKNMBGj3JDsoL8	Q1:提案名稱三：活化社區青年參與_以松山區為例,;	101.139.83.90
2018-04-21 10:03:25	7ffd7c87de3423ee8c8b2380834d08c9:H0KAGknjy4mlU8qhfnL3YUyOadknufeV	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.96.44
2018-04-21 10:03:45	59166163ff1a289e38cdffe670bdcabf:tNVxAQJcwDwzcrhFP9I2vVTJpQQJwfIu	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.15.233.30
2018-04-21 10:04:49	212c7bc90819c689d9d8324bf934c54c:94bx49DW83quYJFccXXViO60nx8oHRX1	Q1:提案名稱二：閒置空間_空宅空間改造,;	223.136.209.29
2018-04-21 10:04:53	5b4c6b740cf350ea8b925172df108079:WDP1KQjqulDPdvDxGWkPY0AE02WW4Nzk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.10.102.222
2018-04-21 10:05:40	a22084c2de56e02922ddbf3c2e1def37:hjuWU19xQuL459nGKogcnnvcruJvfaD2	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	101.10.102.222
2018-04-21 10:09:19	58bd29aaf1ecb5aeb6ba7e4edc3b497f:v3125I9BvLILHiSpJ4cgP81bILigwTWX	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	180.217.173.229
2018-04-21 10:09:26	a634552a9eb46e4b9d225e53fd8e8664:i7cxlle1Gqummy6Gg9H1IggqX5zAdyIu	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	10.5.3.8
2018-04-21 10:12:47	a7f1b8a87ab8f426b4f1ef96868c716b:L9CoTuXYdNHZJJ1CgV73Lx2KdZgWJvYJ	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.190.60
