2018-04-27 03:29:17	202eee09caa372ad6142abb924730fd2:29j7VILO2nXdkt5BOJXRpxSnmsICxCh8	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	114.42.66.70
2018-04-27 07:12:35	c866465d0be3f28fbfe9fa0ef27b71d8:E1He00clvOF9cuE0F68Uxqx7MljOqvdT	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	114.45.82.123
2018-04-27 07:23:58	d5d6457842a7e9cd93fe774557effe9e:USKwPsRNGWGSgePg0x9zsSJ8ZtAkMlqr	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	111.251.56.185
2018-04-27 07:44:33	6ec5e4fe083e5a678ed6f2c801111ad7:fHNriODVwkNqxoKTk2hCedOqOyUqhGks	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	114.136.213.163
2018-04-27 08:36:30	1cf8e4202664aa917edfd6739a76ff49:oKSQ8dYuZ53kyl7b5vgqTkcGXDtPQ73W	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.97.216
2018-04-27 08:54:38	45c5311dd29dd73325e177e44bf30b91:nRKxuoXJnumgdSrq6bXjpgGJjGuaoM2Y	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	49.217.225.212
2018-04-27 08:58:00	b7cc6f21ec770b7b864a180dd198f2cc:v0TWFqDnQMjMWdeIJsYqI5D6IfAuV0Y4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	117.19.224.218
2018-04-27 09:08:44	0927d680747707f93326bfc879a3b4ed:YqzwDXYlEw4rMOSNfv1FHk920H86M0Ai	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 09:10:42	ddd800b9204aa8bbaf66255070431805:qg5NdTx1W8tLXgtfFqAXsgQQIFV4uO7h	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 09:14:12	e0805b3ab40099e1810f2fd9a9a6125a:FeFBtT8VA4wgIIogDvGfCfWYvoeX2CQb	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 09:16:33	3aa194973d79742e31b2b9803bedd48c:1OFUHB6EAQwxyexMPIRKzvBYTvUrdrA6	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 09:24:28	89269543338565856aeccde56daa5fdb:wSgucy7GotChBvp5cPnXqdExS9QOo5uv	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 09:30:37	28a7ec3c2c35ec0f2b7e236c5233331f:BEgYLPPTnHoIP9kLWy3UAv49VzeeblAt	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	39.12.194.170
2018-04-27 09:47:23	b7a3e1348a032b1df9607d3976fcab5f:5gu555BRAasurDGlIRkauID8ouiMbk0m	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 09:47:46	cce271506af38e4eb8f4c8e55a337af7:nQ9iVjnBRA9qgrlByyq8S9bVWK9QChn4	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	223.140.84.75
2018-04-27 09:48:41	841e83b6ecc44742575ea5f3ca301015:xDrAq26cFKWmGbXkFXoTD8R6vNyOlpZF	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.228
2018-04-27 09:49:47	cfae33ea44785491102d1c3643ba15e1:047Pw15EDifZ0NwD0H3pVUsA4MMSni86	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	42.73.64.114
2018-04-27 10:01:52	48fa085f2a7336af2e2f313800aaf238:nqPN6A4ErizL9PiGialI19fujrwysmPB	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.228
2018-04-27 10:04:41	1fdfcb0303f5e7901d73d73a69b9ce48:QF5Q0Hm0lQ5C7S2jbMBBHpSO27gJIgIy	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.97.228
2018-04-27 10:05:18	9d27f348d18ac3a507baf8e0083ef0df:zvP4tQHaKypfKF8O4CgKXBQ2N97evFw1	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.96.160
2018-04-27 10:10:28	94c75d2807faa3cac00d1ba5556fed70:MciJHNMeRIdezxeiGai3XqXd4EJR4eCk	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.96.160
2018-04-27 10:14:07	4cbbebec297ad6138ff77ccadb5e8021:aTGxoMVKYmw2xLqygTmBq2pDGV4EAZke	Q1:提案名稱二：閒置空間_空宅空間改造,提案名稱三：活化社區青年參與_以松山區為例,;	172.18.96.160
2018-04-27 10:23:41	c6258cb101f67bcf585f4e78729db758:CNTGKY44P7BZqWUASan39RSCLezjjTo8	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 10:25:57	7b892f467862e87e892e628d0597b74f:EbUIbPBwuCnDw2lThGqFQcJ9F0n84HbW	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	172.18.96.160
2018-04-27 10:34:07	c01a711da2dc2858249cbc5a84191f77:SPRUsjziujkMGhWX6RDVi2HV7Wcs9G81	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,;	180.176.107.72
2018-04-27 10:34:46	ca3cc729b7b6c2ac5702f975613c9da9:lioAbCJlbrS1HKeh7vt55IP3WueizsRr	Q1:提案名稱二：閒置空間_空宅空間改造,;	172.18.96.160
2018-04-27 10:34:46	17240e8feb64d6cac7d1d557f0ce2a5c:xr9yO6bUXvsFnHaNhllcNprH5bhj5zHZ	Q1:提案名稱二：閒置空間_空宅空間改造,;	223.136.99.12
2018-04-27 10:35:08	d7a2becac554300a9cb7bcfd34055a65:j7P4zjONhvaDoULtPPvqHpzUjHMKIspp	Q1:提案名稱一：翻轉公園_滿足孩童身心發展	,提案名稱二：閒置空間_空宅空間改造,;	1.167.48.152
2018-04-27 10:36:55	2d93db081bfb5cdf29deccf85d9b8d6d:EA1bU8aHk6tcxrTNccKvwV98VcRKiq11	Q1:提案名稱二：閒置空間_空宅空間改造,;	223.140.71.83
